total_ot_hours,total_ot_paid,headcount,ot_hours_per_employee,agency
10810044.14,521103465.22,43678,247.494027656944,ADMIN FOR CHILDREN'S SVCS
0.0,0.0,2698,0.0,DEPT. OF DESIGN & CONSTRUCTION
0.0,0.0,3577,0.0,TECHNOLOGY & INNOVATION
0.0,0.0,2052,0.0,BOARD OF ELECTION
0.0,0.0,72053,0.0,BOARD OF ELECTION POLL WORKERS
0.0,0.0,138,0.0,BOROUGH PRESIDENT-BRONX
0.0,0.0,156,0.0,BOROUGH PRESIDENT-BROOKLYN
0.0,0.0,140,0.0,BOROUGH PRESIDENT-QUEENS
0.0,0.0,88,0.0,BOROUGH PRESIDENT-STATEN IS
0.0,0.0,8,0.0,BRONX COMMUNITY BOARD #1
0.0,0.0,8,0.0,BRONX COMMUNITY BOARD #10
0.0,0.0,6,0.0,BRONX COMMUNITY BOARD #11
0.0,0.0,4,0.0,BRONX COMMUNITY BOARD #12
0.0,0.0,4,0.0,BRONX COMMUNITY BOARD #2
0.0,0.0,4,0.0,BRONX COMMUNITY BOARD #3
0.0,0.0,8,0.0,BRONX COMMUNITY BOARD #4
0.0,0.0,4,0.0,BRONX COMMUNITY BOARD #5
0.0,0.0,6,0.0,BRONX COMMUNITY BOARD #6
0.0,0.0,6,0.0,BRONX COMMUNITY BOARD #7
0.0,0.0,6,0.0,BRONX COMMUNITY BOARD #8
0.0,0.0,8,0.0,BRONX COMMUNITY BOARD #9
0.0,0.0,3015,0.0,BRONX DISTRICT ATTORNEY
0.0,0.0,10,0.0,BROOKLYN COMMUNITY BOARD #1
0.0,0.0,8,0.0,BROOKLYN COMMUNITY BOARD #10
0.0,0.0,6,0.0,BROOKLYN COMMUNITY BOARD #11
0.0,0.0,4,0.0,BROOKLYN COMMUNITY BOARD #12
0.0,0.0,8,0.0,BROOKLYN COMMUNITY BOARD #13
0.0,0.0,6,0.0,BROOKLYN COMMUNITY BOARD #14
0.0,0.0,4,0.0,BROOKLYN COMMUNITY BOARD #15
0.0,0.0,6,0.0,BROOKLYN COMMUNITY BOARD #16
0.0,0.0,6,0.0,BROOKLYN COMMUNITY BOARD #17
0.0,0.0,6,0.0,BROOKLYN COMMUNITY BOARD #18
0.0,0.0,10,0.0,BROOKLYN COMMUNITY BOARD #2
0.0,0.0,4,0.0,BROOKLYN COMMUNITY BOARD #3
0.0,0.0,6,0.0,BROOKLYN COMMUNITY BOARD #4
0.0,0.0,6,0.0,BROOKLYN COMMUNITY BOARD #5
0.0,0.0,6,0.0,BROOKLYN COMMUNITY BOARD #6
0.0,0.0,6,0.0,BROOKLYN COMMUNITY BOARD #7
0.0,0.0,6,0.0,BROOKLYN COMMUNITY BOARD #8
0.0,0.0,6,0.0,BROOKLYN COMMUNITY BOARD #9
0.0,0.0,156,0.0,BUSINESS INTEGRITY COMMISSION
0.0,0.0,398,0.0,CAMPAIGN FINANCE BOARD
