avg_ot_pay,total_ot_pay,headcount,title
82587.69290598291,9662760.07,117,SUPERVISOR PLUMBER
82110.12790697675,14122942.0,172,WARDEN-ASSISTANT DEPUTY WARDEN TED < 11/1/92
68313.72335820895,9154038.93,134,MARINE ENGINEER
67926.46180722892,11275792.66,166,SUPERVISOR ELECTRICIAN
67835.4335021097,209000970.62,3081,CAPTAIN
60940.519311163895,25655958.63,421,LIEUTENANT D/A COMMANDER OF DETECTIVE SQUAD
58439.515919282516,13032012.05,223,SENIOR STATIONARY ENGINEER
58292.80630733945,50831327.1,872,POLICE OFFICER D/A DETECTIVE 1ST GR
57344.857560975615,7053417.48,123,AREA SUPERVISOR
56934.34447154472,49020470.59,861,PLUMBER
55840.046355140184,5974884.96,107,SUPERVISOR CARPENTER
54208.82191428572,18973087.67,350,LIEUTENANT D/A SPECIAL ASSIGNMENT
53841.40426842684,97883672.96,1818,POLICE OFFICER D/A DETECTIVE 2ND GR
52920.199377777775,11907044.86,225,SUPERVISOR PAINTER
52343.859806389155,54071207.18,1033,STATIONARY ENGINEER
51521.28996460177,29109528.83,565,PLASTERER
50210.8457226792,42729429.71,851,SERGEANT-D/A SUPERVISOR DETECTIVE SQUAD
50126.13374754099,305769415.86,6100,LIEUTENANT
49588.936229508196,6049850.22,122,MARINE OILER
48893.75569105691,12027863.9,246,FIRE MARSHAL
48871.21113207547,10360696.76,212,STEAM FITTER
48456.078883495145,19963904.5,412,PLUMBER'S HELPER
44464.12135277737,303378699.99,6823,P.O. DA DET GR3
43442.26798334875,46961091.69,1081,ELECTRICIAN
43257.043423728814,25521655.62,590,SERGEANT-D/A SPECIAL ASSIGNMENT
42722.47116022099,7732767.28,181,BRICKLAYER
41661.666721698115,17664546.69,424,OILER
41476.25709427208,486599448.23,11732,CORRECTION OFFICER
41196.689470198675,6220700.11,151,ASSOCIATE YOUTH DEVELOPMENT SPECIALIST
38940.913314917125,14096610.62,362,GENERAL SUPERINTENDENT
38442.22985765125,10802266.59,281,ELECTRICIANS HELPER
38077.68378548896,96565006.08,2536,P.O. DET SPEC
37514.05942583732,7840438.42,209,MATE
37495.34672955975,5961760.13,159,BATTALION CHIEF
36892.540800821356,17966667.37,487,ELEVATOR MECHANIC
36189.43338235294,12304407.35,340,SUPERVISOR HIGHWAY REPAIRER
35939.562167501084,660425394.39,18376,FIREFIGHTER
35906.14158139535,38599102.2,1075,CARPENTER
35432.1659056806,33058210.79,933,PAINTER
35378.374363992174,18078349.3,511,SUPERVISOR OF MECHANICS
32796.79479245283,8691150.62,265,DEPUTY CITY SHERIFF - NON-SPVR
30995.290208333332,5951095.72,192,GASOLINE ROLLER ENGINEER-L15
30469.60784,3808700.98,125,MASONS HELPER
30191.95756578947,4589177.55,152,CEMENT MASON
29211.495774594798,232494294.87,7959,SERGEANT-
29132.21470588235,4457228.85,153,HIGH PRESSURE PLANT TENDER
28803.434841897233,14574538.03,506,DECKHAND
28722.319351574213,76631148.03,2668,SUPERVISOR
28467.19153846154,3330661.41,117,SUPERVISOR OF ELECTRICAL INSTALLATIONS & MAINTENANCE
28429.443793103448,3297815.48,116,FORENSIC MORTUARY TECHNICIAN
