total_ot_paid,total_regular_gross,ot_to_regular_ratio,agency
645861374.08,1469082372.4,0.43963591573485006,DEPARTMENT OF CORRECTION
1167093093.43,3300693491.65,0.3535902671309768,FIRE DEPARTMENT
28544015.42,109270010.31,0.2612246062668098,BOARD OF ELECTION
2347532030.95,9281735956.4,0.2529195014787417,POLICE DEPARTMENT
412974020.42,1757942938.02,0.23491889952078845,NYC HOUSING AUTHORITY
368000036.22,1697733752.62,0.2167595688382174,DEPARTMENT OF SANITATION
207362759.43,1072332446.12,0.19337544077892702,DEPARTMENT OF TRANSPORTATION
49851871.87,261339311.27,0.19075535030585603,DEPT. OF HOMELESS SERVICES
62866811.55,365870687.56,0.17182795366652684,DEPT OF CITYWIDE ADMIN SVCS
184940171.74,1493631313.17,0.12381915812108496,HRA/DEPT OF SOCIAL SERVICES
127155524.54,1118156881.04,0.1137188588614975,DEPT OF ENVIRONMENT PROTECTION
106217812.77,1030914445.69,0.10303261654162532,ADMIN FOR CHILDREN'S SVCS
54836556.29,881278223.43,0.06222388665928005,DEPT OF PARKS & RECREATION
5249587.79,87335333.82,0.060108406991602206,NYC EMPLOYEES RETIREMENT SYS
7861654.18,137368710.21,0.057230312259477674,DEPARTMENT OF PROBATION
16146463.09,316877848.03,0.050954849606499965,DEPARTMENT OF FINANCE
1473927.01,33204151.88,0.044389840623750336,CAMPAIGN FINANCE BOARD
2966109.74,68434298.94,0.04334244356913113,TAXI & LIMOUSINE COMMISSION
1927161.82,45536021.88,0.04232169918309078,OFFICE OF EMERGENCY MANAGEMENT
40075245.72,1084900310.76,0.036939104286850356,DEPT OF HEALTH/MENTAL HYGIENE
980846.6900000001,27201258.63,0.036058871515534725,NYC POLICE PENSION FUND
8954120.3,278594001.82,0.03214039154290648,DEPARTMENT OF BUILDINGS
67963234.27,2142071765.87,0.03172780452684638,DEPARTMENT OF EDUCATION ADMIN
282972.68,10282832.72,0.027518942270608093,NYC FIRE PENSION FUND
271072.35,10366761.23,0.02614821967882827,TAX COMMISSION
7856435.58,308436202.25,0.02547183347054715,DISTRICT ATTORNEY-MANHATTAN
5426328.6,231620296.76,0.023427690387697955,DISTRICT ATTORNEY KINGS COUNTY
3648249.66,160646609.87,0.022709783063285752,COMMUNITY COLLEGE (BRONX)
2694677.45,118967374.54,0.022650558276327917,COMMUNITY COLLEGE (HOSTOS)
3676393.98,162915996.38,0.02256619399991175,DISTRICT ATTORNEY QNS COUNTY
6253141.85,306256595.74,0.02041798262300504,COMMUNITY COLLEGE (MANHATTAN)
7965853.91,409353399.59,0.01945960121005087,HOUSING PRESERVATION & DVLPMNT
744506.11,42434068.56,0.01754500888707618,CIVILIAN COMPLAINT REVIEW BD
862854.8099999999,54702197.79,0.0157736771987201,DEPARTMENT OF INVESTIGATION
4967732.15,322829590.94,0.015388094181624404,LAW DEPARTMENT
2947915.35,202325936.17,0.014570130779096349,COMMUNITY COLLEGE (KINGSBORO)
4558541.99,329250670.44,0.013845201845475703,TECHNOLOGY & INNOVATION
1392683.16,107264255.92,0.012983664950220632,FINANCIAL INFO SVCS AGENCY
2679395.62,229188297.54,0.011690804673534293,DEPT. OF DESIGN & CONSTRUCTION
112077.22,10352833.62,0.010825753036684078,BOROUGH PRESIDENT-BRONX
1970188.68,193800154.56,0.010166084152373753,COMMUNITY COLLEGE (QUEENSBORO)
1605735.22,203617405.56,0.007886041056184843,BRONX DISTRICT ATTORNEY
847588.95,144355759.89,0.005871528442272536,OFFICE OF THE COMPTROLLER
69253.24,12330702.27,0.0056163256952922935,BUSINESS INTEGRITY COMMISSION
258969.72,46765275.31,0.005537649854156284,DISTRICT ATTORNEY-SPECIAL NARC
38430.17,7364312.08,0.005218433111270319,NYC DEPT OF VETERANS' SERVICES
1280437.37,245423461.64000002,0.005217257394397821,COMMUNITY COLLEGE (LAGUARDIA)
52630.55,10846466.96,0.00485232197674071,OFFICE OF THE ACTUARY
177397.61000000002,36683824.1,0.004835853795297203,GUTTMAN COMMUNITY COLLEGE
418090.78,98401682.75,0.004248817381123495,OFFICE OF MANAGEMENT & BUDGET
121703.17,29433433.35,0.00413486148737045,OFF OF PAYROLL ADMINISTRATION
204821.67,66361494.63,0.0030864535396917716,CONSUMER AND WORKER PROTECTION
88541.5,31325027.21,0.0028265418384611834,HUNTER COLLEGE HIGH SCHOOL
122784.67,45253215.77,0.002713280546161725,DISTRICT ATTORNEY RICHMOND COU
36215.799999999996,13366115.15,0.0027095232678733877,LANDMARKS PRESERVATION COMM
290845.03,111943138.41,0.002598149686805802,DEPT OF YOUTH & COMM DEV SRVS
142992.63,60116007.41,0.0023786115572308267,DEPARTMENT OF BUSINESS SERV.
27271.21,11608854.88,0.0023491731339482466,CULTURAL AFFAIRS
206341.52,107155955.07,0.0019256187849308673,ADMIN TRIALS AND HEARINGS
99838.88,61215966.73,0.001630928748382767,DEPARTMENT FOR THE AGING
111299.38,74340486.57,0.0014971570019951246,TEACHERS RETIREMENT SYSTEM
41760.81,30526579.07,0.0013680147357566326,OFFICE OF LABOR RELATIONS
75966.37000000001,62417522.94,0.001217068003051388,DEPARTMENT OF CITY PLANNING
103411.75,92882884.06,0.0011133563631938756,OFFICE OF THE MAYOR
7190.5599999999995,17576095.19,0.0004091102103322188,CUNY CENTRAL OFFICE
5427.16,13392770.4,0.0004052305712640306,OFFICE OF CRIMINAL JUSTICE
3414.53,10599576.14,0.0003221383529775748,BOROUGH PRESIDENT-BROOKLYN
2548.22,9247749.77,0.0002755502758375349,CITY CLERK
360.56,3225054.0100000002,0.00011179967804632207,OFFICE OF RACIAL EQUITY
694.49,9406461.34,7.383116507870536e-05,PRESIDENT BOROUGH OF MANHATTAN
32.9,2836650.92,1.159818424185941e-05,MUNICIPAL WATER FIN AUTHORITY
99.35,40331600.16,2.463328992796402e-06,MAYORS OFFICE OF CONTRACT SVCS
4.29,19669081.68,2.1810881004994637e-07,HUMAN RIGHTS COMMISSION
0.09,2218915.68,4.056035153169948e-08,CIVIL SERVICE COMMISSION
0.0,392102.11,0.0,STATEN ISLAND COMMUNITY BD #2
0.0,498435.77,0.0,MANHATTAN COMMUNITY BOARD #8
0.0,419125.05,0.0,BROOKLYN COMMUNITY BOARD #4
0.0,509826.89,0.0,QUEENS COMMUNITY BOARD #11
0.0,504233.07,0.0,BROOKLYN COMMUNITY BOARD #13
0.0,211945.91,0.0,BROOKLYN COMMUNITY BOARD #15
0.0,476907.68,0.0,MANHATTAN COMMUNITY BOARD #3
0.0,414719.64,0.0,BROOKLYN COMMUNITY BOARD #5
0.0,5416735.43,0.0,BOROUGH PRESIDENT-STATEN IS
0.0,469754.28,0.0,BROOKLYN COMMUNITY BOARD #6
0.0,200124.33,0.0,BROOKLYN COMMUNITY BOARD #16
0.0,467720.98,0.0,QUEENS COMMUNITY BOARD #4
0.0,5599573.66,0.0,BOARD OF CORRECTION
0.0,377696.46,0.0,BROOKLYN COMMUNITY BOARD #2
0.0,466468.91000000003,0.0,MANHATTAN COMMUNITY BOARD #4
0.0,456598.08999999997,0.0,STATEN ISLAND COMMUNITY BD #3
0.0,242745670.83,0.0,DOE CUSTODIAL PAYROL
0.0,402443.82,0.0,QUEENS COMMUNITY BOARD #9
0.0,520752.03,0.0,BROOKLYN COMMUNITY BOARD #14
0.0,1858032.6400000001,0.0,PUBLIC ADMINISTRATOR-KINGS
0.0,459443.55,0.0,QUEENS COMMUNITY BOARD #7
0.0,937497749.05,0.0,DEPT OF ED PER SESSION TEACHER
0.0,365585.31,0.0,BRONX COMMUNITY BOARD #8
0.0,541500.23,0.0,BROOKLYN COMMUNITY BOARD #10
0.0,20241987067.53,0.0,DEPT OF ED PEDAGOGICAL
0.0,2164768.32,0.0,EQUAL EMPLOY PRACTICES COMM
0.0,367159.77,0.0,QUEENS COMMUNITY BOARD #6
0.0,419082.01,0.0,MANHATTAN COMMUNITY BOARD #12
0.0,702332275.62,0.0,DEPT OF ED HRLY SUPPORT STAFF
0.0,1132626.94,0.0,PUBLIC ADMINISTRATOR-BRONX
0.0,1309508.88,0.0,COMMISSION ON RACIAL EQUITY
0.0,1752891.96,0.0,PUBLIC ADMINISTRATOR-NEW YORK
0.0,487491.53,0.0,QUEENS COMMUNITY BOARD #2
0.0,454339.89,0.0,BROOKLYN COMMUNITY BOARD #18
0.0,9600336.5,0.0,PUBLIC ADVOCATE
0.0,1249393.15,0.0,PUBLIC ADMINISTRATOR-QUEENS
0.0,472372.25,0.0,BROOKLYN COMMUNITY BOARD #8
0.0,420986.95,0.0,BRONX COMMUNITY BOARD #1
0.0,418657.32999999996,0.0,MANHATTAN COMMUNITY BOARD #2
0.0,545997.21,0.0,MANHATTAN COMMUNITY BOARD #6
0.0,5283036.99,0.0,CONFLICTS OF INTEREST BOARD
0.0,527915.19,0.0,QUEENS COMMUNITY BOARD #5
0.0,3600911.69,0.0,PERSONNEL MONITORS
0.0,427871.62,0.0,QUEENS COMMUNITY BOARD #12
0.0,430294.61,0.0,BROOKLYN COMMUNITY BOARD #11
0.0,10717277.42,0.0,INDEPENDENT BUDGET OFFICE
0.0,342338.82999999996,0.0,BRONX COMMUNITY BOARD #3
0.0,749839.8,0.0,PUBLIC SERVICE CORPS
0.0,481561.48000000004,0.0,MANHATTAN COMMUNITY BOARD #5
0.0,514765.39,0.0,BROOKLYN COMMUNITY BOARD #7
0.0,482373.42,0.0,QUEENS COMMUNITY BOARD #8
0.0,330989.79,0.0,MANHATTAN COMMUNITY BOARD #10
0.0,9441994.03,0.0,DEPT OF RECORDS & INFO SERVICE
0.0,546167.96,0.0,BRONX COMMUNITY BOARD #11
0.0,504609.87,0.0,MANHATTAN COMMUNITY BOARD #7
0.0,4894310.75,0.0,OFFICE OF COLLECTIVE BARGAININ
0.0,508240.45999999996,0.0,BRONX COMMUNITY BOARD #12
0.0,478749.61,0.0,BRONX COMMUNITY BOARD #2
0.0,454907.08,0.0,MANHATTAN COMMUNITY BOARD #1
0.0,458210.02,0.0,BROOKLYN COMMUNITY BOARD #9
0.0,152966729.06,0.0,CITY COUNCIL
0.0,396057.44,0.0,BROOKLYN COMMUNITY BOARD #1
0.0,271171.1,0.0,QUEENS COMMUNITY BOARD #10
0.0,438197.57,0.0,BROOKLYN COMMUNITY BOARD #12
0.0,379234.58999999997,0.0,MANHATTAN COMMUNITY BOARD #9
0.0,390529.51,0.0,BRONX COMMUNITY BOARD #7
0.0,479792.52,0.0,MANHATTAN COMMUNITY BOARD #11
0.0,336465.13,0.0,BRONX COMMUNITY BOARD #5
0.0,1238341.77,0.0,PUBLIC ADMINISTRATOR-RICHMOND
0.0,428087.92,0.0,BRONX COMMUNITY BOARD #6
0.0,510765255.5,0.0,DEPT OF ED PER DIEM TEACHERS
0.0,10928592.79,0.0,BOROUGH PRESIDENT-QUEENS
0.0,408000.17,0.0,BROOKLYN COMMUNITY BOARD #17
0.0,16603.350000000002,0.0,DISTRICTING COMMISSION
0.0,105798455.19,0.0,BOARD OF ELECTION POLL WORKERS
0.0,2473550865.29,0.0,DEPT OF ED PARA PROFESSIONALS
0.0,296596.29000000004,0.0,QUEENS COMMUNITY BOARD #13
0.0,492850.13,0.0,BRONX COMMUNITY BOARD #10
0.0,384008.4,0.0,QUEENS COMMUNITY BOARD #1
0.0,297282.51,0.0,BROOKLYN COMMUNITY BOARD #3
0.0,404172.42000000004,0.0,BRONX COMMUNITY BOARD #4
0.0,445482.33,0.0,QUEENS COMMUNITY BOARD #3
0.0,539737.77,0.0,BRONX COMMUNITY BOARD #9
0.0,389875.1,0.0,STATEN ISLAND COMMUNITY BD #1
0.0,298295.03,0.0,QUEENS COMMUNITY BOARD #14
