avg_total_compensation,avg_base_salary,avg_ot_paid,payroll_record_count,title
243790.6270646766,223032.43781094527,3199.1848756218906,201,CAPTAIN D/A DEPUTY CHIEF
227343.20302752292,160780.4105504587,58843.941811926605,436,LIEUTENANT D/A COMMANDER OF DETECTIVE SQUAD
224422.98906614786,211347.74708171206,2207.696186770428,257,CAPTAIN D/A INSPECTOR
223921.68011695903,215754.21637426902,0.0,171,DEPUTY CHIEF
214893.69309192197,159381.38718662952,52357.7308913649,359,LIEUTENANT D/A SPECIAL ASSIGNMENT
211136.86886956522,200506.36231884058,1384.2948405797101,345,CAPTAIN D/A DEPUTY INSPECTOR
206646.2332097399,143460.92252351964,57829.54129773105,3614,CAPTAIN
204737.5118134715,134903.41450777202,73157.88284974094,193,WARDEN-ASSISTANT DEPUTY WARDEN TED < 11/1/92
199377.9880210773,186838.26112412178,6980.2369437939105,854,BATTALION CHIEF
196921.72552715655,149272.1384451544,54133.46860489883,939,POLICE OFFICER D/A DETECTIVE 1ST GR
190963.50083974257,135117.1561764244,47993.2188651703,6371,LIEUTENANT
188770.01034792367,128611.06509539843,47956.711234567905,891,SERGEANT-D/A SUPERVISOR DETECTIVE SQUAD
188637.61042654028,235604.6356398104,690.7307109004739,211,DEPUTY COMMISSIONER
188233.73936,127190.416,56427.33984,125,AREA SUPERVISOR
186245.9149921094,131045.95423461337,51490.62228300894,1901,POLICE OFFICER D/A DETECTIVE 2ND GR
185562.09224742267,204058.61855670103,0.0,485,ASSISTANT SUPERINTENDENT
179579.03033568905,161159.5300353357,24905.67247349823,566,GENERAL SUPERINTENDENT
179578.98591869918,127193.56747967479,41498.55783739837,615,SERGEANT-D/A SPECIAL ASSIGNMENT
179544.8313636364,192874.97121212122,0.0,3960,PRINCIPAL
172602.38104122094,116567.53858222792,43271.71845100556,7011,P.O. DA DET GR3
169470.65025830257,118946.65682656827,44383.261623616236,271,FIRE MARSHAL
168409.06674170165,116054.62190003815,36842.81040824113,2621,P.O. DET SPEC
167178.32781115882,143104.95064377683,28829.704034334765,466,SUPERVISOR OF MECHANICS
161423.23217391304,105532.0745341615,54193.476273291926,161,MARINE ENGINEER
161017.19431936223,112331.36393284213,28081.338279985506,8279,SERGEANT-
154279.30276785715,165565.90950892857,59.03191964285714,224,ADMINISTRATIVE COMMUNITY RELATIONS SPECIALIST
150792.9336022514,162318.6835272045,2213.5130393996246,1066,ADMINISTRATIVE ENGINEER
150530.4111760684,160255.84537094017,898.0160512820513,2925,COMPUTER SYSTEMS MANAGER
150269.59744186047,160359.75968992247,3.7608527131782945,129,ADMINISTRATIVE CONSTRUCTION PROJECT MANAGER
146017.88662337663,158275.40746753247,0.0,616,12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL
145160.9524968153,156238.67600849256,0.0,2355,EDUCATIONAL ADMINISTRATOR CSA
145125.61984615386,182433.72764102565,40.89666666666667,195,ASSISTANT COMMISSIONER
143801.6095,153685.03107692307,321.70457692307696,260,ADMINISTRATIVE MANAGER
143584.1877037037,170189.851,78.91810052910053,1890,EXECUTIVE AGENCY COUNSEL
143038.73949019608,145830.87843137255,3040.3580392156864,255,ADMINISTRATIVE HOUSING SUPERINTENDENT
141553.6508181818,152142.90454545454,2155.4518636363637,220,COMPUTER OPERATIONS MANAGER
141195.08948275863,166529.43103448275,0.0,116,ADMIN CONTRACT SPECIALIST
140257.84462421574,149945.96048591644,0.0,7491,ASSISTANT PRINCIPAL
