total_compensation,total_regular_gross,total_ot_paid,total_other_pay,headcount,avg_compensation_per_employee,agency
21573701655.829998,20241987067.53,0.0,1331714588.3,112777,191295.22558527003,DEPT OF ED PEDAGOGICAL
13257828169.68,9281735956.4,2347532030.95,1628560182.33,66863,198283.4777033636,POLICE DEPARTMENT
5091835800.18,3300693491.65,1167093093.43,624049215.1,22003,231415.52516384132,FIRE DEPARTMENT
2827712790.04,2473550865.29,0.0,354161924.75,46342,61018.358940917526,DEPT OF ED PARA PROFESSIONALS
2384359823.8,1697733752.62,368000036.22,318626034.96,12634,188725.64696849772,DEPARTMENT OF SANITATION
2369750490.94,2142071765.87,67963234.27,159715490.8,16926,140006.52788254755,DEPARTMENT OF EDUCATION ADMIN
2325200346.7,1469082372.4,645861374.08,210256600.22,11381,204305.45177928125,DEPARTMENT OF CORRECTION
2271612749.83,1757942938.02,412974020.42,100695791.39,17056,133185.55052943245,NYC HOUSING AUTHORITY
1779564157.19,1493631313.17,184940171.74,100992672.28,13932,127732.13875897216,HRA/DEPT OF SOCIAL SERVICES
1378388877.52,1072332446.12,207362759.43,98693671.97,7450,185018.64127785235,DEPARTMENT OF TRANSPORTATION
1332228370.11,1118156881.04,127155524.54,86915964.53,7437,179135.18490116982,DEPT OF ENVIRONMENT PROTECTION
1204522900.26,1084900310.76,40075245.72,79547343.78,8749,137675.49437192822,DEPT OF HEALTH/MENTAL HYGIENE
1194759795.01,1030914445.69,106217812.77,57627536.55,9526,125420.9316617678,ADMIN FOR CHILDREN'S SVCS
1005565305.45,881278223.43,54836556.29,69450525.73,17223,58385.02615398014,DEPT OF PARKS & RECREATION
940039404.62,702332275.62,0.0,237707129.0,27657,33989.20362367574,DEPT OF ED HRLY SUPPORT STAFF
938087601.76,937497749.05,0.0,589852.71,95885,9783.465628200449,DEPT OF ED PER SESSION TEACHER
515734668.75,510765255.5,0.0,4969413.25,20838,24749.72016268356,DEPT OF ED PER DIEM TEACHERS
447711582.79,365870687.56,62866811.55,18974083.68,3024,148052.7720866402,DEPT OF CITYWIDE ADMIN SVCS
435423359.76,409353399.59,7965853.91,18104106.26,3374,129052.56661529341,HOUSING PRESERVATION & DVLPMNT
347418543.18,316877848.03,16146463.09,14394232.06,2371,146528.27633066216,DEPARTMENT OF FINANCE
